wavelength      spectral_flux_density
um              W/m^2/um
5.000000e-02    1.582854e-08
5.025000e-02    1.705844e-08
5.050125e-02    1.838700e-08
5.075376e-02    2.050236e-08
5.100753e-02    2.290133e-08
5.126256e-02    3.048769e-08
5.151888e-02    4.055477e-08
5.177647e-02    5.117445e-08
5.203535e-02    6.464798e-08
5.229553e-02    8.635296e-08
5.255701e-02    1.151055e-07
5.281979e-02    1.413845e-07
5.308389e-02    1.738029e-07
5.334931e-02    2.193243e-07
5.361606e-02    2.768175e-07
5.388414e-02    3.511055e-07
5.415356e-02    4.458017e-07
5.442433e-02    5.807255e-07
5.469645e-02    7.548016e-07
5.496993e-02    9.354214e-07
5.524478e-02    1.160878e-06
5.552100e-02    1.479608e-06
5.579861e-02    1.881309e-06
5.607760e-02    2.294262e-06
5.635799e-02    2.812229e-06
5.663978e-02    3.737617e-06
5.692298e-02    4.948127e-06
5.720759e-02    6.189634e-06
5.749363e-02    7.730889e-06
5.778110e-02    9.461472e-06
5.807000e-02    1.154361e-05
5.836035e-02    1.355142e-05
5.865216e-02    1.606599e-05
5.894542e-02    2.135244e-05
5.924014e-02    2.822560e-05
5.953634e-02    3.518798e-05
5.983403e-02    4.375371e-05
6.013320e-02    5.297953e-05
6.043386e-02    6.446840e-05
6.073603e-02    8.226111e-05
6.103971e-02    1.045250e-04
6.134491e-02    1.278530e-04
6.165163e-02    1.562090e-04
6.195989e-02    1.889920e-04
6.226969e-02    2.293851e-04
6.258104e-02    2.857481e-04
6.289395e-02    3.552078e-04
6.320842e-02    4.343597e-04
6.352446e-02    5.329062e-04
6.384208e-02    6.699763e-04
6.416129e-02    8.368017e-04
6.448210e-02    9.979210e-04
6.480451e-02    1.189126e-03
6.512853e-02    1.409453e-03
6.545417e-02    1.681910e-03
6.578144e-02    2.096457e-03
6.611035e-02    2.616160e-03
6.644090e-02    3.287836e-03
6.677311e-02    4.078762e-03
6.710697e-02    4.684584e-03
6.744251e-02    5.432462e-03
6.777972e-02    6.656335e-03
6.811862e-02    8.038092e-03
6.845921e-02    8.959978e-03
6.880151e-02    1.022739e-02
6.914552e-02    1.323734e-02
6.949124e-02    1.694642e-02
6.983870e-02    2.051440e-02
7.018789e-02    2.480063e-02
7.053883e-02    2.978691e-02
7.089153e-02    3.585003e-02
7.124598e-02    4.357533e-02
7.160221e-02    5.238641e-02
7.196022e-02    5.987605e-02
7.232003e-02    6.919321e-02
7.268163e-02    8.396670e-02
7.304503e-02    1.008962e-01
7.341026e-02    1.162102e-01
7.377731e-02    1.356520e-01
7.414620e-02    1.674278e-01
7.451693e-02    2.041770e-01
7.488951e-02    2.371929e-01
7.526396e-02    2.772923e-01
7.564028e-02    3.322799e-01
7.601848e-02    3.971270e-01
7.639857e-02    4.699184e-01
7.678057e-02    5.551671e-01
7.716447e-02    6.520410e-01
7.755029e-02    7.653625e-01
7.793804e-02    8.964633e-01
7.832773e-02    1.053621e+00
7.871937e-02    1.253157e+00
7.911297e-02    1.481302e+00
7.950853e-02    1.714798e+00
7.990608e-02    1.988839e+00
8.030561e-02    2.320992e+00
8.070714e-02    2.714131e+00
8.111067e-02    3.194571e+00
8.151622e-02    3.732691e+00
8.192381e-02    4.263424e+00
8.233342e-02    4.926147e+00
8.274509e-02    5.894459e+00
8.315882e-02    6.941741e+00
8.357461e-02    7.800016e+00
8.399248e-02    8.863222e+00
8.441245e-02    1.040127e+01
8.483451e-02    1.215541e+01
8.525868e-02    1.404031e+01
8.568497e-02    1.615476e+01
8.611340e-02    1.839184e+01
8.654397e-02    2.111815e+01
8.697669e-02    2.480605e+01
8.741157e-02    2.900330e+01
8.784863e-02    3.350505e+01
8.828787e-02    3.865509e+01
8.872931e-02    4.444953e+01
8.917296e-02    5.095716e+01
8.961882e-02    5.797913e+01
9.006692e-02    6.591550e+01
9.051725e-02    7.479226e+01
9.096984e-02    9.097411e+01
9.142469e-02    1.303712e+02
9.188181e-02    1.586788e+02
9.234122e-02    1.325850e+02
9.280292e-02    1.142345e+02
9.326694e-02    1.054597e+02
9.373327e-02    1.019600e+02
9.420194e-02    1.091088e+02
9.467295e-02    1.131805e+02
9.514631e-02    1.098098e+02
9.562205e-02    1.125484e+02
9.610016e-02    1.294424e+02
9.658066e-02    1.549974e+02
9.706356e-02    2.016148e+02
9.754888e-02    2.345601e+02
9.803662e-02    2.181186e+02
9.852681e-02    2.082548e+02
9.901944e-02    2.094127e+02
9.951454e-02    2.299467e+02
1.000121e-01    2.989767e+02
1.005122e-01    3.685383e+02
1.010147e-01    4.109714e+02
1.015198e-01    4.583078e+02
1.020274e-01    5.111327e+02
1.025375e-01    5.453662e+02
1.030502e-01    5.373662e+02
1.035655e-01    5.633426e+02
1.040833e-01    6.586599e+02
1.046037e-01    7.579461e+02
1.051267e-01    8.486079e+02
1.056524e-01    9.324997e+02
1.061806e-01    9.928479e+02
1.067115e-01    1.076460e+03
1.072451e-01    1.202618e+03
1.077813e-01    1.315844e+03
1.083202e-01    1.392012e+03
1.088618e-01    1.607796e+03
1.094061e-01    2.134128e+03
1.099532e-01    3.413330e+03
1.105029e-01    7.289314e+03
1.110555e-01    1.315575e+04
1.116107e-01    1.838892e+04
1.121688e-01    2.213869e+04
1.127296e-01    2.134430e+04
1.132933e-01    2.132526e+04
1.138597e-01    2.244237e+04
1.144290e-01    2.299537e+04
1.150012e-01    2.268019e+04
1.155762e-01    2.141528e+04
1.161541e-01    1.902492e+04
1.167348e-01    1.851083e+04
1.173185e-01    2.040199e+04
1.179051e-01    2.122920e+04
1.184946e-01    2.044742e+04
1.190871e-01    2.198925e+04
1.196825e-01    2.733881e+04
1.202810e-01    3.519224e+04
1.208824e-01    4.737915e+04
1.214868e-01    5.935040e+04
1.220942e-01    6.787200e+04
1.227047e-01    8.163804e+04
1.233182e-01    1.045368e+05
1.239348e-01    1.481223e+05
1.245545e-01    2.373392e+05
1.251772e-01    3.101364e+05
1.258031e-01    3.179249e+05
1.264321e-01    3.734141e+05
1.270643e-01    5.140437e+05
1.276996e-01    8.241574e+05
1.283381e-01    1.572997e+06
1.289798e-01    2.441452e+06
1.296247e-01    3.005392e+06
1.302728e-01    3.891277e+06
1.309242e-01    5.325886e+06
1.315788e-01    6.319342e+06
1.322367e-01    6.428909e+06
